"PostId","TagId"
1,1
22,1
39,1
125,1
152,1
165,1
325,1
507,1
652,1
672,1
743,1
1571,1
1611,1
1719,1
1848,1
1874,1
1914,1
2022,1
2149,1
2272,1
2296,1
2356,1
2635,1
2966,1
3276,1
3328,1
3333,1
3352,1
3496,1
3520,1
3531,1
3640,1
3715,1
3804,1
4191,1
4225,1
4258,1
4259,1
4298,1
4308,1
4334,1
4417,1
4687,1
4689,1
4698,1
4796,1
4803,1
5077,1
5081,1
5114,1
5119,1
5160,1
5181,1
5453,1
5542,1
5903,1
5997,1
6008,1
6097,1
6146,1
6308,1
6318,1
6366,1
6492,1
6493,1
6518,1
6554,1
6773,1
6777,1
7020,1
7101,1
7314,1
7351,1
7430,1
7455,1
7497,1
7519,1
7670,1
7686,1
7742,1
7788,1
7805,1
7882,1
8104,1
8119,1
8221,1
8347,1
8541,1
8572,1
8573,1
8608,1
8742,1
8749,1
8808,1
8812,1
8836,1
8845,1
8869,1
8916,1
9275,1
9345,1
9659,1
9734,1
9735,1
9817,1
9845,1
9977,1
10418,1
10537,1
10851,1
10880,1
10977,1
11248,1
11437,1
11504,1
11622,1
11769,1
12112,1
12155,1
12195,1
12283,1
12288,1
12355,1
12370,1
12562,1
12627,1
12641,1
12678,1
12741,1
13014,1
13051,1
13078,1
13149,1
13275,1
13306,1
13321,1
13352,1
13470,1
13540,1
13724,1
13743,1
13778,1
14025,1
14194,1
14354,1
14392,1
14444,1
14636,1
14664,1
14672,1
14713,1
14721,1
14735,1
14873,1
14955,1
15052,1
15085,1
15131,1
15379,1
15717,1
15777,1
15822,1
15888,1
15949,1
16083,1
16710,1
16802,1
16873,1
16945,1
16951,1
17141,1
17149,1
17151,1
17189,1
17274,1
17409,1
17417,1
17474,1
17603,1
17617,1
17782,1
17946,1
17963,1
18222,1
18262,1
18316,1
18426,1
18453,1
18586,1
18705,1
18917,1
18972,1
18982,1
19947,1
20119,1
20235,1
20301,1
20381,1
20520,1
20558,1
20593,1
20729,1
20735,1
20881,1
20944,1
21015,1
21149,1
21172,1
21198,1
21263,1
21331,1
21335,1
21339,1
21502,1
21506,1
21944,1
22024,1
22106,1
22198,1
22223,1
22255,1
22391,1
22539,1
22710,1
22749,1
22799,1
22842,1
22850,1
22852,1
22914,1
22924,1
22940,1
23024,1
23068,1
23181,1
23201,1
23501,1
23551,1
23589,1
23692,1
23694,1
23852,1
24045,1
24069,1
24209,1
24344,1
24353,1
24441,1
24500,1
24537,1
24588,1
24625,1
24635,1
24681,1
24772,1
24786,1
24799,1
24820,1
24894,1
24964,1
25044,1
25051,1
25083,1
25113,1
25286,1
25376,1
25400,1
25693,1
25726,1
25727,1
25779,1
25791,1
25824,1
25836,1
25885,1
25970,1
25972,1
26026,1
26045,1
26199,1
26218,1
26473,1
26571,1
26580,1
26614,1
26715,1
26759,1
26940,1
26942,1
26970,1
26980,1
27004,1
27023,1
27086,1
27106,1
27153,1
27189,1
27356,1
27404,1
27589,1
27760,1
27768,1
27813,1
27841,1
28018,1
28041,1
28067,1
28068,1
28070,1
28099,1
28120,1
28392,1
28609,1
28617,1
28690,1
28744,1
28826,1
28831,1
29009,1
29053,1
29229,1
29362,1
29476,1
29646,1
29765,1
29801,1
29810,1
29835,1
30012,1
30243,1
30369,1
30377,1
30383,1
30387,1
30457,1
30655,1
30666,1
30670,1
30797,1
31053,1
31097,1
31110,1
31123,1
31142,1
1,2
3804,2
4687,2
5542,2
6366,2
6492,2
6493,2
7020,2
7330,2
7430,2
7497,2
7519,2
8104,2
8812,2
8845,2
14231,2
14721,2
14735,2
15888,2
16604,2
17417,2
18426,2
18569,2
19001,2
20520,2
21568,2
23852,2
25726,2
26329,2
26339,2
27589,2
28068,2
28801,2
28826,2
29835,2
30369,2
30655,2
30666,2
1,3
1015,3
30597,3
2,4
362,4
779,4
806,4
887,4
1066,4
1123,4
1315,4
1601,4
1637,4
1645,4
2119,4
2492,4
3136,4
3514,4
3727,4
3730,4
