"QuestionId","AnswerId","Score","CreationDate","AnswerCommentCount","IsAcceptedAnswer"
1,15,10,"2010-07-19 19:19:46",0,TRUE
1,98,9,"2010-07-19 20:23:57",0,FALSE
1,154,17,"2010-07-19 22:40:47",2,FALSE
1,218,2,"2010-07-20 05:13:21",0,FALSE
1,2696,4,"2010-09-15 21:08:26",0,FALSE
2,20,3,"2010-07-19 19:24:35",2,FALSE
2,59,11,"2010-07-19 19:43:20",1,TRUE
2,357,4,"2010-07-20 23:07:48",3,FALSE
2,9414,3,"2011-04-10 14:30:50",0,FALSE
2,11969,2,"2011-06-16 06:25:08",0,FALSE
2,17397,5,"2011-10-21 20:16:03",1,FALSE
3,5,70,"2010-07-19 19:14:43",3,TRUE
3,9,12,"2010-07-19 19:16:27",3,FALSE
3,14,6,"2010-07-19 19:19:03",1,FALSE
3,16,14,"2010-07-19 19:22:31",3,FALSE
3,24,15,"2010-07-19 19:26:13",0,FALSE
3,28,6,"2010-07-19 19:28:12",0,FALSE
3,42,10,"2010-07-19 19:33:19",3,FALSE
3,178,7,"2010-07-19 23:48:50",0,FALSE
3,297,4,"2010-07-20 13:08:42",0,FALSE
3,598,5,"2010-07-24 20:15:20",2,FALSE
3,1411,11,"2010-08-08 14:33:24",0,FALSE
3,2347,8,"2010-09-03 14:42:15",0,FALSE
3,2353,12,"2010-09-03 16:27:56",2,FALSE
3,7105,3,"2011-02-11 17:52:56",0,FALSE
3,7106,2,"2011-02-11 18:44:38",0,FALSE
3,7186,4,"2011-02-14 07:39:27",1,FALSE
3,7411,1,"2011-02-20 07:03:34",0,FALSE
3,10973,1,"2011-05-19 13:31:00",0,FALSE
4,133,0,"2010-07-19 21:31:53",2,FALSE
4,135,5,"2010-07-19 21:36:12",3,TRUE
4,383,2,"2010-07-21 06:28:43",0,FALSE
4,2453,6,"2010-09-07 23:43:17",2,FALSE
4,2464,0,"2010-09-08 03:00:19",0,FALSE
6,13,10,"2010-07-19 19:18:56",4,FALSE
6,74,11,"2010-07-19 19:51:34",0,FALSE
6,406,9,"2010-07-21 12:43:00",0,FALSE
6,413,3,"2010-07-21 13:48:15",0,FALSE
6,607,36,"2010-07-25 03:29:41",1,FALSE
6,1433,9,"2010-08-09 10:12:35",1,FALSE
6,1443,4,"2010-08-09 13:51:29",2,FALSE
6,7219,21,"2011-02-14 22:09:41",5,FALSE
6,12658,-3,"2011-07-05 09:18:41",0,FALSE
6,23583,0,"2012-02-23 20:59:04",0,FALSE
6,27799,1,"2012-05-04 21:08:26",0,FALSE
6,27848,-1,"2012-05-05 16:59:11",2,FALSE
7,12,17,"2010-07-19 19:18:41",0,FALSE
7,18,19,"2010-07-19 19:24:18",1,TRUE
7,19,11,"2010-07-19 19:24:21",0,FALSE
7,27,4,"2010-07-19 19:28:12",0,FALSE
7,70,11,"2010-07-19 19:48:45",1,FALSE
7,201,7,"2010-07-20 03:11:36",0,FALSE
7,291,6,"2010-07-20 12:35:43",0,FALSE
7,296,9,"2010-07-20 12:54:28",0,FALSE
7,351,4,"2010-07-20 21:05:35",0,FALSE
7,387,24,"2010-07-21 07:04:26",0,FALSE
7,467,5,"2010-07-21 21:04:03",0,FALSE
7,2383,2,"2010-09-05 09:22:57",0,FALSE
7,2438,6,"2010-09-07 08:58:26",0,FALSE
7,2974,1,"2010-09-22 16:22:51",0,FALSE
7,2987,1,"2010-09-22 23:57:02",0,FALSE
7,3003,1,"2010-09-23 06:10:48",0,FALSE
7,3774,2,"2010-10-19 18:41:58",0,FALSE
7,4357,0,"2010-11-09 19:00:39",0,FALSE
7,7350,0,"2011-02-18 00:06:24",0,FALSE
7,21082,0,"2012-01-14 02:49:40",0,FALSE
8,52,5,"2010-07-19 19:39:06",0,FALSE
10,153,4,"2010-07-19 22:39:27",1,FALSE
10,543,3,"2010-07-23 07:13:03",0,FALSE
10,1887,7,"2010-08-19 10:00:00",4,TRUE
11,1201,1,"2010-08-03 21:50:09",0,TRUE
17,29,6,"2010-07-19 19:28:15",0,TRUE
21,2195,2,"2010-08-29 20:01:34",0,FALSE
22,34,4,"2010-07-19 19:30:07",0,FALSE
22,56,31,"2010-07-19 19:42:28",5,FALSE
22,176,13,"2010-07-19 23:40:01",2,FALSE
22,348,-1,"2010-07-20 19:54:13",2,FALSE
22,434,16,"2010-07-21 15:50:43",3,FALSE
22,1602,20,"2010-08-12 14:53:36",1,FALSE
22,5121,12,"2010-12-04 03:06:00",1,FALSE
22,5126,9,"2010-12-04 06:54:30",0,FALSE
22,14911,8,"2011-08-28 15:51:23",6,FALSE
22,15718,1,"2011-09-18 11:15:28",1,FALSE
22,21607,1,"2012-01-24 10:01:40",0,FALSE
22,27806,1,"2012-05-04 22:03:18",0,FALSE
22,31160,1,"2012-06-26 18:36:43",0,FALSE
23,91,6,"2010-07-19 20:15:54",0,TRUE
23,189,3,"2010-07-20 00:59:34",2,FALSE
25,32,9,"2010-07-19 19:29:06",0,TRUE
